break_value,accel_value,speed,timestamp
0.0,156.0,4.0,2024-04-12 07:29:41.137141+00:00
0.0,140.0,8.0,2024-04-12 07:29:42.165068+00:00
0.0,156.0,14.0,2024-04-12 07:29:43.184003+00:00
0.0,117.0,14.0,2024-04-12 07:29:44.000653+00:00
0.0,0.0,18.0,2024-04-12 07:29:45.027641+00:00
0.0,0.0,20.0,2024-04-12 07:29:46.048383+00:00
0.0,0.0,20.0,2024-04-12 07:29:47.077212+00:00
0.0,0.0,20.0,2024-04-12 07:29:47.977453+00:00
0.0,0.0,17.0,2024-04-12 07:29:49.162143+00:00
0.0,0.0,17.0,2024-04-12 07:29:50.243469+00:00
0.0,0.0,12.0,2024-04-12 07:29:51.069647+00:00
0.0,0.0,7.0,2024-04-12 07:29:51.988418+00:00
0.0,153.0,7.0,2024-04-12 07:29:53.029030+00:00
0.0,144.0,6.0,2024-04-12 07:29:54.042274+00:00
0.0,0.0,5.0,2024-04-12 07:29:55.060065+00:00
0.0,0.0,5.0,2024-04-12 07:29:56.084833+00:00
0.0,0.0,4.0,2024-04-12 07:29:57.111477+00:00
0.0,0.0,4.0,2024-04-12 07:29:58.139384+00:00
0.0,0.0,4.0,2024-04-12 07:29:58.978331+00:00
0.0,0.0,4.0,2024-04-12 07:29:59.972565+00:00
0.0,0.0,5.0,2024-04-12 07:30:00.974056+00:00
0.0,0.0,5.0,2024-04-12 07:30:01.980845+00:00
0.0,0.0,3.0,2024-04-12 07:30:03.053642+00:00
0.0,0.0,2.0,2024-04-12 07:30:04.084692+00:00
0.0,0.0,2.0,2024-04-12 07:30:05.098899+00:00
0.0,0.0,2.0,2024-04-12 07:30:06.042324+00:00
0.0,0.0,1.0,2024-04-12 07:30:07.046482+00:00
0.0,0.0,1.0,2024-04-12 07:30:08.066683+00:00
0.0,0.0,1.0,2024-04-12 07:30:08.982381+00:00
0.0,139.0,1.0,2024-04-12 07:30:10.021889+00:00
0.0,0.0,1.0,2024-04-12 07:30:10.972408+00:00
0.0,0.0,1.0,2024-04-12 07:30:12.162359+00:00
0.0,0.0,1.0,2024-04-12 07:30:13.191962+00:00
0.0,0.0,1.0,2024-04-12 07:30:14.017231+00:00
0.0,0.0,1.0,2024-04-12 07:30:15.030163+00:00
0.0,0.0,1.0,2024-04-12 07:30:16.152476+00:00
0.0,0.0,1.0,2024-04-12 07:30:17.079020+00:00
0.0,0.0,1.0,2024-04-12 07:30:18.100069+00:00
0.0,0.0,1.0,2024-04-12 07:30:19.126599+00:00
0.0,136.0,1.0,2024-04-12 07:30:20.159692+00:00
0.0,0.0,1.0,2024-04-12 07:30:21.170624+00:00
0.0,0.0,1.0,2024-04-12 07:30:21.989273+00:00
0.0,0.0,1.0,2024-04-12 07:30:22.999474+00:00
0.0,0.0,1.0,2024-04-12 07:30:24.037864+00:00
0.0,0.0,1.0,2024-04-12 07:30:25.168666+00:00
0.0,0.0,1.0,2024-04-12 07:30:26.187215+00:00
0.0,0.0,1.0,2024-04-12 07:30:27.010991+00:00
0.0,0.0,1.0,2024-04-12 07:30:28.033744+00:00
0.0,0.0,1.0,2024-04-12 07:30:29.062633+00:00
0.0,0.0,2.0,2024-04-12 07:30:30.083005+00:00
0.0,0.0,3.0,2024-04-12 07:30:31.211701+00:00
0.0,0.0,3.0,2024-04-12 07:30:32.029437+00:00
0.0,0.0,3.0,2024-04-12 07:30:33.211211+00:00
0.0,0.0,4.0,2024-04-12 07:30:34.178075+00:00
0.0,0.0,4.0,2024-04-12 07:30:34.993171+00:00
0.0,0.0,4.0,2024-04-12 07:30:36.042235+00:00
0.0,0.0,3.0,2024-04-12 07:30:37.045045+00:00
0.0,0.0,3.0,2024-04-12 07:30:38.070196+00:00
0.0,0.0,3.0,2024-04-12 07:30:39.092980+00:00
0.0,0.0,3.0,2024-04-12 07:30:40.225207+00:00
0.0,0.0,3.0,2024-04-12 07:30:41.042879+00:00
0.0,0.0,2.0,2024-04-12 07:30:42.060896+00:00
0.0,0.0,2.0,2024-04-12 07:30:42.971882+00:00
0.0,0.0,2.0,2024-04-12 07:30:44.010050+00:00
0.0,0.0,2.0,2024-04-12 07:30:45.136622+00:00
0.0,0.0,1.0,2024-04-12 07:30:45.974463+00:00
0.0,0.0,1.0,2024-04-12 07:30:47.290595+00:00
0.0,0.0,1.0,2024-04-12 07:30:48.140087+00:00
0.0,0.0,1.0,2024-04-12 07:30:48.978630+00:00
0.0,0.0,1.0,2024-04-12 07:30:49.975175+00:00
0.0,0.0,1.0,2024-04-12 07:31:02.249237+00:00
0.0,0.0,1.0,2024-04-12 07:31:03.265650+00:00
0.0,0.0,1.0,2024-04-12 07:31:09.628722+00:00
0.0,0.0,1.0,2024-04-12 07:31:10.718737+00:00
0.0,0.0,1.0,2024-04-12 07:31:11.650066+00:00
0.0,0.0,1.0,2024-04-12 07:31:12.760347+00:00
0.0,0.0,1.0,2024-04-12 07:31:13.781802+00:00
0.0,0.0,1.0,2024-04-12 07:31:14.625981+00:00
0.0,0.0,1.0,2024-04-12 07:31:15.824781+00:00
0.0,0.0,1.0,2024-04-12 07:31:16.649095+00:00
0.0,0.0,1.0,2024-04-12 07:31:17.682706+00:00
0.0,0.0,1.0,2024-04-12 07:31:18.658594+00:00
0.0,0.0,1.0,2024-04-12 07:31:19.724807+00:00
0.0,0.0,1.0,2024-04-12 07:31:20.753572+00:00
0.0,0.0,1.0,2024-04-12 07:31:21.767311+00:00
0.0,0.0,1.0,2024-04-12 07:31:22.686079+00:00
0.0,0.0,1.0,2024-04-12 07:31:23.818304+00:00
0.0,0.0,1.0,2024-04-12 07:31:24.624961+00:00
0.0,0.0,1.0,2024-04-12 07:31:25.661181+00:00
0.0,0.0,0.0,2024-04-12 07:31:26.687385+00:00
0.0,0.0,0.0,2024-04-12 07:31:27.708657+00:00
0.0,0.0,0.0,2024-04-12 07:31:28.729504+00:00
0.0,0.0,0.0,2024-04-12 07:31:29.757896+00:00
0.0,139.0,0.0,2024-04-12 07:31:30.779232+00:00
0.0,0.0,0.0,2024-04-12 07:31:31.802174+00:00
0.0,0.0,0.0,2024-04-12 07:31:32.646214+00:00
0.0,0.0,0.0,2024-04-12 07:31:33.643197+00:00
0.0,0.0,0.0,2024-04-12 07:31:34.670477+00:00
0.0,0.0,0.0,2024-04-12 07:31:35.693556+00:00
0.0,0.0,0.0,2024-04-12 07:31:36.788228+00:00
0.0,0.0,0.0,2024-04-12 07:31:37.848068+00:00
0.0,0.0,0.0,2024-04-12 07:31:38.672418+00:00
0.0,0.0,0.0,2024-04-12 07:31:39.693473+00:00
0.0,0.0,0.0,2024-04-12 07:31:40.720585+00:00
0.0,0.0,0.0,2024-04-12 07:31:41.631552+00:00
0.0,0.0,0.0,2024-04-12 07:31:42.657183+00:00
0.0,0.0,0.0,2024-04-12 07:31:43.679377+00:00
0.0,0.0,0.0,2024-04-12 07:31:44.717591+00:00
0.0,0.0,0.0,2024-04-12 07:31:45.629888+00:00
0.0,0.0,0.0,2024-04-12 07:31:46.670458+00:00
0.0,0.0,0.0,2024-04-12 07:31:47.778977+00:00
0.0,0.0,0.0,2024-04-12 07:31:48.804684+00:00
0.0,0.0,0.0,2024-04-12 07:31:49.824507+00:00
0.0,0.0,0.0,2024-04-12 07:31:50.619757+00:00
0.0,0.0,0.0,2024-04-12 07:31:51.668635+00:00
0.0,0.0,0.0,2024-04-12 07:31:52.691164+00:00
0.0,0.0,0.0,2024-04-12 07:31:53.659909+00:00
0.0,0.0,0.0,2024-04-12 07:31:54.739079+00:00
0.0,0.0,0.0,2024-04-12 07:31:55.783044+00:00
0.0,0.0,0.0,2024-04-12 07:31:56.662917+00:00
0.0,0.0,0.0,2024-04-12 07:31:57.813710+00:00
0.0,0.0,0.0,2024-04-12 07:31:58.834555+00:00
0.0,0.0,0.0,2024-04-12 07:31:59.665521+00:00
0.0,0.0,0.0,2024-04-12 07:32:00.661034+00:00
0.0,0.0,0.0,2024-04-12 07:32:01.704814+00:00
0.0,0.0,0.0,2024-04-12 07:32:02.761473+00:00
0.0,0.0,0.0,2024-04-12 07:32:03.754808+00:00
0.0,0.0,0.0,2024-04-12 07:32:04.775339+00:00
0.0,0.0,0.0,2024-04-12 07:39:34.562803+00:00
0.0,0.0,0.0,2024-04-12 07:39:35.550134+00:00
0.0,0.0,0.0,2024-04-12 07:39:52.126185+00:00
0.0,0.0,0.0,2024-04-12 07:39:53.047832+00:00
0.0,0.0,0.0,2024-04-12 07:39:54.003079+00:00
0.0,0.0,0.0,2024-04-12 07:39:55.186051+00:00
486.0,0.0,0.0,2024-04-12 07:41:18.401252+00:00
619.0,0.0,0.0,2024-04-12 07:41:19.280426+00:00
625.0,0.0,3.0,2024-04-12 07:41:20.403850+00:00
466.0,0.0,4.0,2024-04-12 07:41:21.408307+00:00
439.0,0.0,5.0,2024-04-12 07:41:22.348290+00:00
553.0,0.0,5.0,2024-04-12 07:41:23.273977+00:00
639.0,0.0,4.0,2024-04-12 07:41:24.262789+00:00
413.0,0.0,3.0,2024-04-12 07:41:25.305821+00:00
515.0,0.0,2.0,2024-04-12 07:41:26.345866+00:00
548.0,0.0,2.0,2024-04-12 07:41:27.368922+00:00
612.0,0.0,2.0,2024-04-12 07:41:28.287370+00:00
447.0,0.0,2.0,2024-04-12 07:41:29.417293+00:00
560.0,0.0,2.0,2024-04-12 07:41:30.234648+00:00
625.0,0.0,1.0,2024-04-12 07:41:31.265995+00:00
574.0,0.0,1.0,2024-04-12 07:41:32.294368+00:00
695.0,0.0,1.0,2024-04-12 07:41:33.306587+00:00
464.0,0.0,1.0,2024-04-12 07:41:34.532098+00:00
601.0,0.0,1.0,2024-04-12 07:41:35.799947+00:00
368.0,0.0,1.0,2024-04-12 07:41:36.387901+00:00
526.0,0.0,1.0,2024-04-12 07:41:37.299460+00:00
583.0,0.0,1.0,2024-04-12 07:41:38.321637+00:00
294.0,0.0,1.0,2024-04-12 07:41:39.241740+00:00
366.0,0.0,1.0,2024-04-12 07:41:40.231250+00:00
486.0,0.0,1.0,2024-04-12 07:41:41.391908+00:00
558.0,0.0,1.0,2024-04-12 07:41:42.420213+00:00
528.0,0.0,1.0,2024-04-12 07:41:43.447045+00:00
361.0,0.0,1.0,2024-04-12 07:41:44.231229+00:00
418.0,0.0,1.0,2024-04-12 07:41:45.289676+00:00
569.0,0.0,1.0,2024-04-12 07:41:46.309235+00:00
499.0,0.0,1.0,2024-04-12 07:41:47.335168+00:00
614.0,0.0,2.0,2024-04-12 07:41:48.305277+00:00
701.0,0.0,3.0,2024-04-12 07:41:49.383504+00:00
609.0,0.0,3.0,2024-04-12 07:41:50.299873+00:00
481.0,0.0,3.0,2024-04-12 07:41:51.441557+00:00
486.0,0.0,3.0,2024-04-12 07:41:52.246396+00:00
486.0,0.0,3.0,2024-04-12 07:41:53.287126+00:00
689.0,0.0,3.0,2024-04-12 07:41:54.289035+00:00
443.0,0.0,3.0,2024-04-12 07:41:55.319796+00:00
480.0,0.0,3.0,2024-04-12 07:41:56.446338+00:00
608.0,0.0,3.0,2024-04-12 07:41:57.367803+00:00
560.0,0.0,3.0,2024-04-12 07:41:58.393731+00:00
448.0,0.0,3.0,2024-04-12 07:41:59.314990+00:00
567.0,0.0,2.0,2024-04-12 07:42:00.334335+00:00
591.0,0.0,2.0,2024-04-12 07:42:01.367123+00:00
527.0,0.0,2.0,2024-04-12 07:42:02.399041+00:00
330.0,0.0,2.0,2024-04-12 07:42:03.227770+00:00
320.0,145.0,2.0,2024-04-12 07:42:04.239440+00:00
331.0,115.0,2.0,2024-04-12 07:42:05.365086+00:00
286.0,112.0,2.0,2024-04-12 07:42:06.275162+00:00
258.0,145.0,2.0,2024-04-12 07:42:07.295391+00:00
247.0,138.0,3.0,2024-04-12 07:42:08.429807+00:00
246.0,144.0,5.0,2024-04-12 07:42:09.243823+00:00
229.0,145.0,5.0,2024-04-12 07:42:10.272213+00:00
271.0,151.0,7.0,2024-04-12 07:42:11.231205+00:00
237.0,140.0,9.0,2024-04-12 07:42:12.316912+00:00
240.0,144.0,9.0,2024-04-12 07:42:13.347806+00:00
237.0,157.0,13.0,2024-04-12 07:42:14.364625+00:00
230.0,148.0,17.0,2024-04-12 07:42:15.231314+00:00
187.0,146.0,17.0,2024-04-12 07:42:16.331303+00:00
91.0,141.0,20.0,2024-04-12 07:42:17.455577+00:00
86.0,138.0,26.0,2024-04-12 07:42:18.258185+00:00
122.0,0.0,26.0,2024-04-12 07:42:19.281493+00:00
571.0,0.0,32.0,2024-04-12 07:42:20.306625+00:00
362.0,0.0,34.0,2024-04-12 07:42:21.329043+00:00
387.0,0.0,34.0,2024-04-12 07:42:22.582121+00:00
273.0,0.0,34.0,2024-04-12 07:42:23.493816+00:00
0.0,0.0,33.0,2024-04-12 07:42:24.512495+00:00
586.0,0.0,33.0,2024-04-12 07:42:25.428360+00:00
551.0,0.0,31.0,2024-04-12 07:42:26.345184+00:00
80.0,0.0,28.0,2024-04-12 07:42:27.270204+00:00
528.0,0.0,28.0,2024-04-12 07:42:28.289723+00:00
560.0,0.0,23.0,2024-04-12 07:42:29.407624+00:00
64.0,0.0,17.0,2024-04-12 07:42:30.457123+00:00
500.0,0.0,17.0,2024-04-12 07:42:31.271739+00:00
454.0,0.0,13.0,2024-04-12 07:42:32.287865+00:00
66.0,0.0,9.0,2024-04-12 07:42:33.308586+00:00
624.0,0.0,9.0,2024-04-12 07:42:34.333749+00:00
586.0,0.0,7.0,2024-04-12 07:42:35.359022+00:00
693.0,0.0,5.0,2024-04-12 07:42:36.383825+00:00
558.0,0.0,5.0,2024-04-12 07:42:37.228238+00:00
507.0,0.0,4.0,2024-04-12 07:42:38.432332+00:00
555.0,0.0,3.0,2024-04-12 07:42:40.297219+00:00
731.0,0.0,3.0,2024-04-12 07:42:40.781463+00:00
503.0,0.0,2.0,2024-04-12 07:42:41.299920+00:00
591.0,112.0,2.0,2024-04-12 07:42:42.431931+00:00
205.0,144.0,2.0,2024-04-12 07:42:43.479199+00:00
208.0,149.0,1.0,2024-04-12 07:42:44.231224+00:00
558.0,153.0,2.0,2024-04-12 07:42:45.291118+00:00
201.0,150.0,2.0,2024-04-12 07:42:46.314291+00:00
206.0,128.0,7.0,2024-04-12 07:42:47.340105+00:00
482.0,112.0,12.0,2024-04-12 07:42:48.264464+00:00
160.0,147.0,12.0,2024-04-12 07:42:49.287155+00:00
175.0,140.0,15.0,2024-04-12 07:42:50.308800+00:00
0.0,0.0,17.0,2024-04-12 07:42:51.330386+00:00
598.0,0.0,17.0,2024-04-12 07:42:52.243850+00:00
437.0,0.0,16.0,2024-04-12 07:42:53.384954+00:00
87.0,0.0,14.0,2024-04-12 07:42:54.398159+00:00
583.0,0.0,14.0,2024-04-12 07:42:55.422578+00:00
657.0,0.0,10.0,2024-04-12 07:42:56.248456+00:00
147.0,0.0,7.0,2024-04-12 07:42:57.269815+00:00
633.0,0.0,7.0,2024-04-12 07:42:58.296729+00:00
543.0,0.0,5.0,2024-04-12 07:42:59.322454+00:00
